date,time,comp,round,day,venue,result,gf,ga,opponent,poss,attendance,captain,formation,referee,match report,notes,sh,sot,dist,fk,pk,pkatt,season,team
2017-09-30,15:00,Championship,Matchweek 11,Sat,Home,L,0,4,Wolves,47,5080,Jake Buxton,3-5-2,Tony Harrington,Match Report,,10,2,,,0,0,2017,Burton Albion
2017-10-13,19:45,Championship,Matchweek 12,Fri,Away,D,0,0,Bristol City,25,18212,Jake Buxton,3-5-2,James Linington,Match Report,,4,0,,,0,0,2017,Burton Albion
2017-10-21,15:00,Championship,Matchweek 13,Sat,Away,L,0,2,Nott'ham Forest,30,24686,Jake Buxton,3-4-3,Keith Stroud,Match Report,,10,1,,,0,0,2017,Burton Albion
2017-10-28,15:00,Championship,Matchweek 14,Sat,Home,L,1,2,Ipswich Town,48,4110,Jake Buxton,3-5-2,Simon Hooper,Match Report,,18,6,,,0,0,2017,Burton Albion
2017-10-31,19:45,Championship,Matchweek 15,Tue,Home,L,2,4,Barnsley,58,3761,Jake Buxton,3-5-2,Jeremy Simpson,Match Report,,15,4,,,0,0,2017,Burton Albion
2017-11-04,15:00,Championship,Matchweek 16,Sat,Away,W,1,0,Millwall,47,11507,Jake Buxton,4-3-3,Tony Harrington,Match Report,,2,1,,,0,0,2017,Burton Albion
2017-11-17,19:45,Championship,Matchweek 17,Fri,Home,L,1,3,Sheffield Utd,46,5167,Jake Buxton,4-1-2-1-2◆,Oliver Langford,Match Report,,9,4,,,0,0,2017,Burton Albion
2017-11-21,19:45,Championship,Matchweek 18,Tue,Away,D,1,1,Brentford,34,7957,Luke Murphy,4-5-1,Chris Kavanagh,Match Report,,4,1,,,0,0,2017,Burton Albion
2017-11-25,15:00,Championship,Matchweek 19,Sat,Home,L,0,2,Sunderland,46,4808,Luke Murphy,4-4-1-1,Darren England,Match Report,,15,1,,,0,0,2017,Burton Albion
2017-12-02,15:00,Championship,Matchweek 20,Sat,Away,L,0,1,Derby County,40,26761,Jake Buxton,5-4-1,David Coote,Match Report,,9,2,,,0,0,2017,Burton Albion
2017-12-09,15:00,Championship,Matchweek 21,Sat,Home,L,1,2,Preston,46,3659,Jake Buxton,4-2-3-1,Keith Stroud,Match Report,,11,6,,,0,0,2017,Burton Albion
2017-12-16,15:00,Championship,Matchweek 22,Sat,Away,W,1,0,Bolton,32,13632,Jake Buxton,4-2-3-1,Andy Madley,Match Report,,9,4,,,0,0,2017,Burton Albion
2017-12-23,15:00,Championship,Matchweek 23,Sat,Away,W,2,1,Reading,24,21771,Jake Buxton,5-4-1,John Brooks,Match Report,,7,3,,,0,0,2017,Burton Albion
2017-12-26,15:00,Championship,Matchweek 24,Tue,Home,L,1,2,Leeds United,37,5612,Jake Buxton,5-4-1,Darren Bond,Match Report,,11,3,,,0,0,2017,Burton Albion
2017-12-30,15:00,Championship,Matchweek 25,Sat,Home,D,0,0,Norwich City,48,4565,Luke Murphy,4-5-1,Robert Jones,Match Report,,11,2,,,0,0,2017,Burton Albion
2018-01-01,15:00,Championship,Matchweek 26,Mon,Away,W,3,0,Sheffield Weds,32,25506,Jake Buxton,5-4-1,Darren England,Match Report,,9,6,,,0,1,2017,Burton Albion
2018-01-13,15:00,Championship,Matchweek 27,Sat,Home,L,1,3,QPR,54,4264,Jake Buxton,5-4-1,Steve Martin,Match Report,,4,2,,,0,0,2017,Burton Albion
2018-01-20,15:00,Championship,Matchweek 28,Sat,Away,L,0,6,Fulham,32,19003,Jake Buxton,5-4-1,Tim Robinson,Match Report,,6,0,,,0,0,2017,Burton Albion
2018-01-30,19:45,Championship,Matchweek 29,Tue,Home,L,1,3,Reading,44,2750,Jake Buxton,3-5-2,Robert Jones,Match Report,,5,2,,,1,1,2017,Burton Albion
2018-02-03,15:00,Championship,Matchweek 30,Sat,Away,L,2,3,Aston Villa,53,33022,Hope Akpan,4-1-4-1,David Coote,Match Report,,7,4,,,0,0,2017,Burton Albion
2018-02-10,15:00,Championship,Matchweek 31,Sat,Away,D,0,0,Ipswich Town,55,13815,John Brayford,4-1-4-1,David Webb,Match Report,,10,2,,,0,0,2017,Burton Albion
2018-02-17,15:00,Championship,Matchweek 32,Sat,Home,D,0,0,Nott'ham Forest,71,5775,John Brayford,4-1-4-1,Andrew Davies,Match Report,,17,5,,,0,0,2017,Burton Albion
2018-02-20,19:45,Championship,Matchweek 33,Tue,Away,W,2,1,Barnsley,40,11774,Kyle McFadzean,4-1-4-1,Tim Robinson,Match Report,,5,3,,,0,0,2017,Burton Albion
2018-02-24,15:00,Championship,Matchweek 34,Sat,Home,L,0,1,Millwall,58,4105,John Brayford,4-1-4-1,Robert Jones,Match Report,,6,0,,,0,0,2017,Burton Albion
2018-03-06,19:45,Championship,Matchweek 36,Tue,Home,L,0,2,Brentford,40,3464,Kyle McFadzean,4-1-4-1,Tony Harrington,Match Report,,3,0,,,0,0,2017,Burton Albion
2018-03-10,15:00,Championship,Matchweek 37,Sat,Home,D,0,0,Bristol City,44,4575,Kyle McFadzean,4-4-2,Oliver Langford,Match Report,,10,3,,,0,0,2017,Burton Albion
2018-03-13,19:45,Championship,Matchweek 35,Tue,Away,L,0,2,Sheffield Utd,48,24832,Kyle McFadzean,4-1-4-1,Scott Duncan,Match Report,,5,3,,,0,0,2017,Burton Albion
2018-03-17,15:00,Championship,Matchweek 38,Sat,Away,L,1,3,Wolves,29,29977,Jake Buxton,5-4-1,Geoff Eltringham,Match Report,,3,1,,,0,0,2017,Burton Albion
2018-03-30,15:00,Championship,Matchweek 39,Fri,Away,L,1,3,Cardiff City,58,21086,John Brayford,4-4-1-1,Simon Hooper,Match Report,,11,3,,,0,0,2017,Burton Albion
2018-04-02,15:00,Championship,Matchweek 40,Mon,Home,D,1,1,Middlesbrough,44,4468,John Brayford,4-4-1-1,David Coote,Match Report,,13,1,,,0,0,2017,Burton Albion
2018-04-07,15:00,Championship,Matchweek 41,Sat,Away,D,1,1,Birmingham City,44,22311,John Brayford,4-4-1-1,Darren Bond,Match Report,,6,2,,,0,0,2017,Burton Albion
2018-04-10,19:45,Championship,Matchweek 42,Tue,Home,L,0,5,Hull City,50,3659,Jake Buxton,4-4-1-1,Peter Bankes,Match Report,,11,2,,,0,0,2017,Burton Albion
2018-04-14,15:00,Championship,Matchweek 43,Sat,Home,W,3,1,Derby County,40,5563,Jake Buxton,4-1-4-1,James Linington,Match Report,,10,6,,,0,0,2017,Burton Albion
2018-04-21,15:00,Championship,Matchweek 44,Sat,Away,W,2,1,Sunderland,50,25475,John Brayford,4-1-4-1,Darren England,Match Report,,14,8,,,0,0,2017,Burton Albion
2018-04-28,15:00,Championship,Matchweek 45,Sat,Home,W,2,0,Bolton,46,6535,John Brayford,4-1-4-1,Graham Scott,Match Report,,16,8,,,0,0,2017,Burton Albion
2018-05-06,12:30,Championship,Matchweek 46,Sun,Away,L,1,2,Preston,43,17058,John Brayford,4-1-4-1,Andy Madley,Match Report,,21,5,,,0,0,2017,Burton Albion
2017-08-04,19:45,Championship,Matchweek 1,Fri,Home,D,1,1,Derby County,46,29578,Lee Cattermole,4-4-2,Oliver Langford,Match Report,,20,4,,,1,1,2017,Sunderland
2017-08-13,13:30,Championship,Matchweek 2,Sun,Away,W,3,1,Norwich City,29,26343,Lee Cattermole,4-4-2,Andy Madley,Match Report,,9,5,,,0,0,2017,Sunderland
2017-08-16,19:45,Championship,Matchweek 3,Wed,Away,D,1,1,Sheffield Weds,37,27631,Lee Cattermole,4-4-2,Steve Martin,Match Report,,8,2,,,0,0,2017,Sunderland
2017-08-19,17:30,Championship,Matchweek 4,Sat,Home,L,0,2,Leeds United,55,31237,Lee Cattermole,4-4-2,Andrew Davies,Match Report,,12,1,,,0,0,2017,Sunderland
2017-08-26,15:00,Championship,Matchweek 5,Sat,Away,L,0,3,Barnsley,60,15697,Lee Cattermole,4-4-2,Chris Kavanagh,Match Report,,11,3,,,0,0,2017,Sunderland
2017-09-09,15:00,Championship,Matchweek 6,Sat,Home,L,1,2,Sheffield Utd,56,29579,Lamine Koné,3-4-1-2,Jeremy Simpson,Match Report,,5,1,,,0,0,2017,Sunderland
2017-09-12,19:45,Championship,Matchweek 7,Tue,Home,L,0,1,Nott'ham Forest,45,26061,Lee Cattermole,4-2-3-1,Simon Hooper,Match Report,,14,4,,,0,0,2017,Sunderland
2017-09-16,15:00,Championship,Matchweek 8,Sat,Away,D,1,1,Hull City,41,16597,Lee Cattermole,4-2-3-1,Darren England,Match Report,,9,3,,,0,0,2017,Sunderland
2017-09-23,15:00,Championship,Matchweek 9,Sat,Home,L,1,2,Cardiff City,52,25733,Lee Cattermole,3-4-1-2,Peter Bankes,Match Report,,11,4,,,1,1,2017,Sunderland
2017-09-26,19:45,Championship,Matchweek 10,Tue,Away,L,2,5,Ipswich Town,43,14907,Lee Cattermole,4-4-1-1,Tim Robinson,Match Report,,15,6,,,0,0,2017,Sunderland
2017-09-30,15:00,Championship,Matchweek 11,Sat,Away,D,2,2,Preston,40,17621,John O'Shea,4-2-3-1,Chris Kavanagh,Match Report,,11,4,,,0,0,2017,Sunderland
2017-10-14,15:00,Championship,Matchweek 12,Sat,Home,D,1,1,QPR,50,26066,John O'Shea,4-4-2,Steve Martin,Match Report,,9,5,,,0,0,2017,Sunderland
2017-10-21,15:00,Championship,Matchweek 13,Sat,Away,D,3,3,Brentford,40,10726,John O'Shea,4-4-1-1,Darren England,Match Report,,11,3,,,1,1,2017,Sunderland
2017-10-28,15:00,Championship,Matchweek 14,Sat,Home,L,1,2,Bristol City,53,27317,John O'Shea,4-2-3-1,Darren Bond,Match Report,,13,4,,,0,0,2017,Sunderland
2017-10-31,19:45,Championship,Matchweek 15,Tue,Home,D,3,3,Bolton,62,26395,John O'Shea,4-2-3-1,Tony Harrington,Match Report,,9,5,,,0,0,2017,Sunderland
2017-11-05,12:15,Championship,Matchweek 16,Sun,Away,L,0,1,Middlesbrough,53,29277,Lee Cattermole,4-4-1-1,Jeremy Simpson,Match Report,,11,4,,,0,0,2017,Sunderland
2017-11-18,15:00,Championship,Matchweek 17,Sat,Home,D,2,2,Millwall,65,27399,John O'Shea,4-2-3-1,Tim Robinson,Match Report,,11,5,,,0,0,2017,Sunderland
2017-11-21,19:45,Championship,Matchweek 18,Tue,Away,L,1,2,Aston Villa,57,27662,John O'Shea,4-1-4-1,Steve Martin,Match Report,,5,2,,,0,0,2017,Sunderland
2017-11-25,15:00,Championship,Matchweek 19,Sat,Away,W,2,0,Burton Albion,55,4808,John O'Shea,4-1-4-1,Darren England,Match Report,,13,5,,,0,0,2017,Sunderland
2017-12-02,15:00,Championship,Matchweek 20,Sat,Home,L,1,3,Reading,37,27386,John O'Shea,4-2-3-1,Keith Stroud,Match Report,,6,4,,,1,1,2017,Sunderland
2017-12-09,15:00,Championship,Matchweek 21,Sat,Away,D,0,0,Wolves,29,28488,John O'Shea,5-4-1,Jeremy Simpson,Match Report,,1,1,,,0,0,2017,Sunderland
2017-12-16,15:00,Championship,Matchweek 22,Sat,Home,W,1,0,Fulham,34,25904,John O'Shea,5-3-2,Steve Martin,Match Report,,16,7,,,0,0,2017,Sunderland
2017-12-23,15:00,Championship,Matchweek 23,Sat,Home,D,1,1,Birmingham City,53,29312,John O'Shea,5-3-2,Oliver Langford,Match Report,,19,4,,,0,0,2017,Sunderland
2017-12-26,15:00,Championship,Matchweek 24,Tue,Away,L,0,3,Sheffield Utd,47,30668,John O'Shea,3-5-1-1,Peter Bankes,Match Report,,7,0,,,0,0,2017,Sunderland
2017-12-30,15:00,Championship,Matchweek 25,Sat,Away,W,1,0,Nott'ham Forest,38,26830,John O'Shea,3-4-3,Darren Bond,Match Report,,1,1,,,0,0,2017,Sunderland
2018-01-01,15:00,Championship,Matchweek 26,Mon,Home,L,0,1,Barnsley,51,28311,John O'Shea,3-4-3,Robert Jones,Match Report,,11,2,,,0,0,2017,Sunderland
2018-01-13,12:30,Championship,Matchweek 27,Sat,Away,L,0,4,Cardiff City,53,17703,John O'Shea,5-4-1,Andy Madley,Match Report,,3,0,,,0,0,2017,Sunderland
2018-01-20,15:00,Championship,Matchweek 28,Sat,Home,W,1,0,Hull City,46,27437,John O'Shea,3-4-1-2,Keith Stroud,Match Report,,13,6,,,0,0,2017,Sunderland
2018-01-30,19:45,Championship,Matchweek 29,Tue,Away,L,1,3,Birmingham City,52,19601,Lee Cattermole,3-4-1-2,Darren Bond,Match Report,,14,4,,,0,0,2017,Sunderland
2018-02-03,15:00,Championship,Matchweek 30,Sat,Home,L,0,2,Ipswich Town,60,27909,John O'Shea,3-5-2,Darren England,Match Report,,11,2,,,0,0,2017,Sunderland
2018-02-10,15:00,Championship,Matchweek 31,Sat,Away,D,3,3,Bristol City,46,22580,John O'Shea,5-3-2,James Linington,Match Report,,13,3,,,0,0,2017,Sunderland
2018-02-17,15:00,Championship,Matchweek 32,Sat,Home,L,0,2,Brentford,41,27702,John O'Shea,4-4-1-1,John Brooks,Match Report,,16,4,,,0,0,2017,Sunderland
2018-02-20,20:00,Championship,Matchweek 33,Tue,Away,L,0,1,Bolton,63,14915,John O'Shea,3-1-4-2,David Coote,Match Report,,15,3,,,0,0,2017,Sunderland
2018-02-24,15:00,Championship,Matchweek 34,Sat,Home,D,3,3,Middlesbrough,51,29048,John O'Shea,3-1-4-2,Tim Robinson,Match Report,,17,7,,,0,0,2017,Sunderland
2018-03-03,15:00,Championship,Matchweek 35,Sat,Away,D,1,1,Millwall,44,14358,John O'Shea,3-4-3,Andrew Davies,Match Report,,2,1,,,0,0,2017,Sunderland
2018-03-06,19:45,Championship,Matchweek 36,Tue,Home,L,0,3,Aston Villa,50,26081,John O'Shea,3-4-3,Andy Madley,Match Report,,9,4,,,0,0,2017,Sunderland
2018-03-10,15:00,Championship,Matchweek 37,Sat,Away,L,0,1,QPR,49,14216,John O'Shea,4-1-4-1,Robert Jones,Match Report,,8,0,,,0,0,2017,Sunderland
2018-03-17,15:00,Championship,Matchweek 38,Sat,Home,L,0,2,Preston,36,28543,John O'Shea,5-3-2,Darren Bond,Match Report,,7,4,,,0,0,2017,Sunderland
2018-03-30,19:45,Championship,Matchweek 39,Fri,Away,W,4,1,Derby County,40,27890,John O'Shea,4-1-4-1,James Linington,Match Report,,14,6,,,1,1,2017,Sunderland
2018-04-02,15:00,Championship,Matchweek 40,Mon,Home,L,1,3,Sheffield Weds,53,29786,John O'Shea,4-1-4-1,Simon Hooper,Match Report,,21,7,,,0,0,2017,Sunderland
2018-04-07,15:00,Championship,Matchweek 41,Sat,Away,D,1,1,Leeds United,45,30461,John O'Shea,4-1-4-1,Jeremy Simpson,Match Report,,20,9,,,0,0,2017,Sunderland
2018-04-10,19:45,Championship,Matchweek 42,Tue,Home,D,1,1,Norwich City,44,24894,John O'Shea,4-1-4-1,David Coote,Match Report,,25,5,,,0,1,2017,Sunderland
2018-04-14,15:00,Championship,Matchweek 43,Sat,Away,D,2,2,Reading,49,17348,Lee Cattermole,4-1-4-1,Steve Martin,Match Report,,22,6,,,0,0,2017,Sunderland
2018-04-21,15:00,Championship,Matchweek 44,Sat,Home,L,1,2,Burton Albion,50,25475,John O'Shea,4-1-4-1,Darren England,Match Report,,14,2,,,0,0,2017,Sunderland
2018-04-27,19:45,Championship,Matchweek 45,Fri,Away,L,1,2,Fulham,39,21849,John O'Shea,4-2-3-1,Peter Bankes,Match Report,,8,2,,,0,0,2017,Sunderland
2018-05-06,12:30,Championship,Matchweek 46,Sun,Home,W,3,0,Wolves,42,28452,John O'Shea,4-1-4-1,Jeremy Simpson,Match Report,,19,7,,,0,0,2017,Sunderland
