date,time,comp,round,day,venue,result,gf,ga,opponent,xg,xga,poss,attendance,captain,formation,referee,match report,notes,sh,sot,dist,fk,pk,pkatt,season,team
2018-08-04,15:00,Championship,Matchweek 1,Sat,Away,D,2,2,Birmingham City,1.8,1.3,70.0,22677.0,Grant Hanley,4-1-4-1,Peter Bankes,Match Report,,17.0,7.0,15.0,0.0,0.0,0.0,2018,Norwich City
2018-08-11,15:00,Championship,Matchweek 2,Sat,Home,L,3,4,West Brom,3.5,1.4,59.0,25144.0,Grant Hanley,4-3-3,Lee Mason,Match Report,,19.0,9.0,19.0,0.0,0.0,1.0,2018,Norwich City
2018-08-18,15:00,Championship,Matchweek 3,Sat,Away,L,1,2,Sheffield Utd,2.3,1.8,47.0,23850.0,Grant Hanley,4-2-3-1,Darren Bond,Match Report,,11.0,2.0,13.1,1.0,0.0,0.0,2018,Norwich City
2018-08-22,19:45,Championship,Matchweek 4,Wed,Home,W,2,0,Preston,0.6,0.4,50.0,24936.0,Grant Hanley,4-2-3-1,Gavin Ward,Match Report,,12.0,3.0,17.8,1.0,0.0,0.0,2018,Norwich City
2018-08-25,15:00,Championship,Matchweek 5,Sat,Home,L,0,3,Leeds United,0.5,0.6,42.0,25944.0,Grant Hanley,4-2-3-1,Simon Hooper,Match Report,,10.0,2.0,16.2,0.0,0.0,0.0,2018,Norwich City
2018-09-02,12:00,Championship,Matchweek 6,Sun,Away,D,1,1,Ipswich Town,0.8,1.5,55.0,25690.0,Grant Hanley,4-2-3-1,Robert Jones,Match Report,,11.0,2.0,16.0,0.0,0.0,0.0,2018,Norwich City
2018-09-15,15:00,Championship,Matchweek 7,Sat,Home,W,1,0,Middlesbrough,0.7,0.6,62.0,24642.0,Alexander Tettey,4-3-3,James Linington,Match Report,,16.0,6.0,22.9,1.0,0.0,0.0,2018,Norwich City
2018-09-19,20:00,Championship,Matchweek 8,Wed,Away,W,2,1,Reading,0.6,0.9,52.0,12822.0,Alexander Tettey,4-2-3-1,Tim Robinson,Match Report,,11.0,5.0,18.4,0.0,0.0,0.0,2018,Norwich City
2018-09-22,17:30,Championship,Matchweek 9,Sat,Away,W,1,0,QPR,1.1,0.5,63.0,12843.0,Alexander Tettey,4-2-3-1,Darren Bond,Match Report,,9.0,4.0,15.5,0.0,0.0,0.0,2018,Norwich City
2018-09-29,15:00,Championship,Matchweek 10,Sat,Home,W,1,0,Wigan Athletic,1.4,0.5,56.0,25034.0,Alexander Tettey,4-2-3-1,Gavin Ward,Match Report,,13.0,3.0,19.7,0.0,1.0,1.0,2018,Norwich City
2018-10-03,19:45,Championship,Matchweek 11,Wed,Away,D,1,1,Derby County,0.9,1.1,42.0,24236.0,Alexander Tettey,4-2-3-1,Geoff Eltringham,Match Report,,14.0,5.0,19.4,0.0,0.0,0.0,2018,Norwich City
2018-10-06,15:00,Championship,Matchweek 12,Sat,Home,L,0,1,Stoke City,0.7,0.7,69.0,24992.0,Alexander Tettey,4-2-3-1,David Coote,Match Report,,15.0,3.0,20.8,0.0,0.0,0.0,2018,Norwich City
2018-10-20,15:00,Championship,Matchweek 13,Sat,Away,W,2,1,Nott'ham Forest,2.4,0.8,56.0,29427.0,Alexander Tettey,4-2-3-1,Keith Stroud,Match Report,,19.0,6.0,17.6,0.0,0.0,0.0,2018,Norwich City
2018-10-23,19:45,Championship,Matchweek 14,Tue,Home,W,2,1,Aston Villa,0.7,0.6,48.0,24977.0,Timm Klose,4-2-3-1,Simon Hooper,Match Report,,10.0,2.0,16.4,1.0,0.0,0.0,2018,Norwich City
2018-10-27,15:00,Championship,Matchweek 15,Sat,Home,W,1,0,Brentford,1.3,0.9,47.0,25443.0,Alexander Tettey,4-2-3-1,Oliver Langford,Match Report,,10.0,2.0,21.1,0.0,0.0,1.0,2018,Norwich City
2018-11-03,15:00,Championship,Matchweek 16,Sat,Away,W,4,0,Sheffield Weds,3.8,1.0,59.0,23425.0,Alexander Tettey,4-2-3-1,Steve Martin,Match Report,,15.0,9.0,16.8,0.0,0.0,1.0,2018,Norwich City
2018-11-10,15:00,Championship,Matchweek 17,Sat,Home,W,4,3,Millwall,2.4,0.8,60.0,26289.0,Alexander Tettey,4-2-3-1,Jeremy Simpson,Match Report,,20.0,6.0,20.0,1.0,0.0,1.0,2018,Norwich City
2018-11-24,15:00,Championship,Matchweek 18,Sat,Away,W,4,1,Swansea City,1.6,1.2,44.0,18780.0,Alexander Tettey,4-2-3-1,Darren Bond,Match Report,,11.0,7.0,16.3,0.0,0.0,0.0,2018,Norwich City
2018-11-27,19:45,Championship,Matchweek 19,Tue,Away,D,0,0,Hull City,1.1,0.9,66.0,11420.0,Alexander Tettey,4-2-3-1,Geoff Eltringham,Match Report,,18.0,4.0,20.1,1.0,0.0,0.0,2018,Norwich City
2018-12-01,15:00,Championship,Matchweek 20,Sat,Home,W,3,1,Rotherham Utd,3.0,0.9,65.0,25858.0,Alexander Tettey,4-2-3-1,Steve Martin,Match Report,,19.0,7.0,18.9,3.0,0.0,0.0,2018,Norwich City
2018-12-08,15:00,Championship,Matchweek 21,Sat,Home,W,3,2,Bolton,1.5,1.3,67.0,25811.0,Alexander Tettey,4-2-3-1,Scott Duncan,Match Report,,21.0,7.0,16.8,0.0,0.0,0.0,2018,Norwich City
2018-12-15,17:30,Championship,Matchweek 22,Sat,Away,D,2,2,Bristol City,1.0,0.7,62.0,19851.0,Alexander Tettey,4-2-3-1,Roger East,Match Report,,9.0,5.0,18.1,0.0,0.0,0.0,2018,Norwich City
2018-12-22,15:00,Championship,Matchweek 23,Sat,Away,W,1,0,Blackburn,1.5,1.2,60.0,14202.0,Alexander Tettey,4-2-3-1,Darren England,Match Report,,11.0,4.0,17.1,0.0,0.0,0.0,2018,Norwich City
2018-12-26,15:00,Championship,Matchweek 24,Wed,Home,D,3,3,Nott'ham Forest,4.0,0.7,60.0,26933.0,Alexander Tettey,4-2-3-1,John Brooks,Match Report,,27.0,10.0,15.1,0.0,0.0,0.0,2018,Norwich City
2018-12-29,15:00,Championship,Matchweek 25,Sat,Home,L,3,4,Derby County,2.3,1.7,62.0,26866.0,Alexander Tettey,4-2-3-1,David Webb,Match Report,,24.0,7.0,15.0,0.0,0.0,0.0,2018,Norwich City
2019-01-01,15:00,Championship,Matchweek 26,Tue,Away,D,1,1,Brentford,0.5,1.1,55.0,9524.0,Alexander Tettey,4-2-3-1,Gavin Ward,Match Report,,8.0,3.0,15.9,1.0,0.0,0.0,2018,Norwich City
2019-01-12,15:00,Championship,Matchweek 27,Sat,Away,D,1,1,West Brom,1.1,1.2,51.0,26544.0,Alexander Tettey,4-2-3-1,Darren England,Match Report,,12.0,4.0,17.5,0.0,0.0,0.0,2018,Norwich City
2019-01-18,19:45,Championship,Matchweek 28,Fri,Home,W,3,1,Birmingham City,1.3,0.4,65.0,25932.0,Christoph Zimmermann,4-2-3-1,Tim Robinson,Match Report,,10.0,4.0,14.9,0.0,0.0,0.0,2018,Norwich City
2019-01-26,15:00,Championship,Matchweek 29,Sat,Home,D,2,2,Sheffield Utd,1.0,2.7,52.0,26844.0,Christoph Zimmermann,4-2-3-1,James Linington,Match Report,,7.0,5.0,16.3,0.0,0.0,0.0,2018,Norwich City
2019-02-02,17:30,Championship,Matchweek 30,Sat,Away,W,3,1,Leeds United,1.5,1.2,38.0,36524.0,Christoph Zimmermann,4-2-3-1,Stuart Attwell,Match Report,,14.0,5.0,18.3,2.0,0.0,0.0,2018,Norwich City
2019-02-10,12:00,Championship,Matchweek 31,Sun,Home,W,3,0,Ipswich Town,1.6,0.7,48.0,27040.0,Christoph Zimmermann,4-2-3-1,Peter Bankes,Match Report,,11.0,3.0,14.6,0.0,0.0,0.0,2018,Norwich City
2019-02-13,19:45,Championship,Matchweek 32,Wed,Away,L,1,3,Preston,2.5,2.0,60.0,11280.0,Alexander Tettey,4-2-3-1,Geoff Eltringham,Match Report,,22.0,8.0,18.2,0.0,0.0,1.0,2018,Norwich City
2019-02-16,15:00,Championship,Matchweek 33,Sat,Away,W,4,0,Bolton,3.0,0.9,69.0,14006.0,Christoph Zimmermann,4-2-3-1,Andy Woolmer,Match Report,,22.0,11.0,17.4,0.0,0.0,1.0,2018,Norwich City
2019-02-23,15:00,Championship,Matchweek 34,Sat,Home,W,3,2,Bristol City,2.6,1.4,58.0,26338.0,Christoph Zimmermann,4-2-3-1,Gavin Ward,Match Report,,23.0,8.0,16.2,1.0,0.0,0.0,2018,Norwich City
2019-03-02,15:00,Championship,Matchweek 35,Sat,Away,W,3,1,Millwall,2.0,1.7,58.0,16748.0,Christoph Zimmermann,4-2-3-1,David Webb,Match Report,,11.0,7.0,12.9,0.0,0.0,0.0,2018,Norwich City
2019-03-08,19:45,Championship,Matchweek 36,Fri,Home,W,1,0,Swansea City,0.4,0.5,48.0,26360.0,Christoph Zimmermann,4-2-3-1,Robert Jones,Match Report,,8.0,1.0,19.8,0.0,0.0,0.0,2018,Norwich City
2019-03-13,19:45,Championship,Matchweek 37,Wed,Home,W,3,2,Hull City,1.9,0.7,61.0,25879.0,Christoph Zimmermann,4-2-3-1,Andy Madley,Match Report,,18.0,8.0,19.0,1.0,0.0,0.0,2018,Norwich City
2019-03-16,15:00,Championship,Matchweek 38,Sat,Away,W,2,1,Rotherham Utd,1.7,0.6,62.0,11026.0,Christoph Zimmermann,4-2-3-1,Oliver Langford,Match Report,,13.0,4.0,13.2,0.0,0.0,0.0,2018,Norwich City
2019-03-30,17:30,Championship,Matchweek 39,Sat,Away,W,1,0,Middlesbrough,1.0,1.3,59.0,23795.0,Christoph Zimmermann,4-2-3-1,David Coote,Match Report,,17.0,5.0,16.8,0.0,0.0,0.0,2018,Norwich City
2019-04-06,12:30,Championship,Matchweek 40,Sat,Home,W,4,0,QPR,3.0,0.3,67.0,26796.0,Christoph Zimmermann,4-2-3-1,Scott Duncan,Match Report,,18.0,8.0,14.9,2.0,0.0,0.0,2018,Norwich City
2019-04-10,19:45,Championship,Matchweek 41,Wed,Home,D,2,2,Reading,2.7,0.5,73.0,26662.0,Christoph Zimmermann,4-2-3-1,Keith Stroud,Match Report,,23.0,7.0,15.1,0.0,0.0,0.0,2018,Norwich City
2019-04-14,12:00,Championship,Matchweek 42,Sun,Away,D,1,1,Wigan Athletic,1.8,2.1,64.0,15655.0,Christoph Zimmermann,4-2-3-1,James Linington,Match Report,,14.0,4.0,14.3,0.0,0.0,0.0,2018,Norwich City
2019-04-19,19:45,Championship,Matchweek 43,Fri,Home,D,2,2,Sheffield Weds,1.8,1.4,58.0,26744.0,Christoph Zimmermann,4-2-3-1,Geoff Eltringham,Match Report,,15.0,5.0,15.1,2.0,0.0,0.0,2018,Norwich City
2019-04-22,15:00,Championship,Matchweek 44,Mon,Away,D,2,2,Stoke City,1.5,1.1,67.0,25487.0,Christoph Zimmermann,4-2-3-1,Tony Harrington,Match Report,,17.0,5.0,18.1,0.0,0.0,0.0,2018,Norwich City
2019-04-27,19:30,Championship,Matchweek 45,Sat,Home,W,2,1,Blackburn,1.8,0.4,57.0,26848.0,Christoph Zimmermann,4-2-3-1,Andy Madley,Match Report,,24.0,7.0,17.3,0.0,0.0,0.0,2018,Norwich City
2019-05-05,12:30,Championship,Matchweek 46,Sun,Away,W,2,1,Aston Villa,2.0,1.0,54.0,41696.0,Christoph Zimmermann,4-2-3-1,Peter Bankes,Match Report,,23.0,5.0,17.5,1.0,0.0,0.0,2018,Norwich City
2018-08-04,17:30,Championship,Matchweek 1,Sat,Home,L,1,2,Swansea City,0.6,1.0,52.0,24654.0,Leon Clarke,3-5-2,Jeremy Simpson,Match Report,,12.0,2.0,18.9,0.0,0.0,0.0,2018,Sheffield United
2018-08-07,19:45,Championship,Matchweek 4,Tue,Away,L,0,3,Middlesbrough,1.1,0.9,58.0,22960.0,Leon Clarke,5-3-2,Robert Jones,Match Report,,16.0,4.0,18.4,0.0,0.0,0.0,2018,Sheffield United
2018-08-11,15:00,Championship,Matchweek 2,Sat,Away,W,2,1,QPR,1.9,0.7,47.0,14128.0,Billy Sharp,5-3-2,Scott Duncan,Match Report,,7.0,4.0,16.5,0.0,1.0,1.0,2018,Sheffield United
2018-08-18,15:00,Championship,Matchweek 3,Sat,Home,W,2,1,Norwich City,1.8,2.3,53.0,23850.0,Billy Sharp,3-4-1-2,Darren Bond,Match Report,,14.0,5.0,14.3,0.0,0.0,0.0,2018,Sheffield United
2018-08-25,15:00,Championship,Matchweek 5,Sat,Away,W,3,0,Bolton,1.0,0.5,53.0,14848.0,Billy Sharp,3-4-1-2,Andy Madley,Match Report,,17.0,6.0,15.8,0.0,0.0,0.0,2018,Sheffield United
2018-09-01,15:00,Championship,Matchweek 6,Sat,Home,W,4,1,Aston Villa,0.9,0.4,40.0,26030.0,Billy Sharp,3-4-1-2,James Linington,Match Report,,9.0,6.0,18.9,1.0,0.0,0.0,2018,Sheffield United
2018-09-15,15:00,Championship,Matchweek 7,Sat,Away,L,0,1,Bristol City,0.5,0.7,57.0,20540.0,Billy Sharp,3-4-1-2,John Brooks,Match Report,,11.0,1.0,16.8,1.0,0.0,0.0,2018,Sheffield United
2018-09-19,19:45,Championship,Matchweek 8,Wed,Home,D,0,0,Birmingham City,0.6,1.8,62.0,23525.0,Leon Clarke,3-4-1-2,Gavin Ward,Match Report,,6.0,3.0,16.1,0.0,0.0,0.0,2018,Sheffield United
2018-09-22,15:00,Championship,Matchweek 9,Sat,Home,W,3,2,Preston,2.1,0.9,54.0,23857.0,Billy Sharp,3-4-1-2,Scott Duncan,Match Report,,13.0,3.0,13.2,0.0,0.0,0.0,2018,Sheffield United
2018-09-29,15:00,Championship,Matchweek 10,Sat,Away,W,3,2,Millwall,3.2,1.1,66.0,13145.0,Billy Sharp,3-4-1-2,Andrew Davies,Match Report,,13.0,5.0,18.0,1.0,1.0,2.0,2018,Sheffield United
2018-10-03,19:45,Championship,Matchweek 11,Wed,Away,W,2,0,Blackburn,2.2,0.9,46.0,14440.0,Billy Sharp,3-4-1-2,Robert Jones,Match Report,,13.0,7.0,12.8,0.0,0.0,0.0,2018,Sheffield United
2018-10-06,15:00,Championship,Matchweek 12,Sat,Home,W,1,0,Hull City,2.0,0.5,53.0,25360.0,Billy Sharp,3-4-1-2,Peter Bankes,Match Report,,11.0,2.0,17.0,0.0,1.0,1.0,2018,Sheffield United
2018-10-20,17:30,Championship,Matchweek 13,Sat,Away,L,1,2,Derby County,1.8,0.7,51.0,27927.0,Billy Sharp,3-4-1-2,Oliver Langford,Match Report,,13.0,3.0,13.4,0.0,0.0,0.0,2018,Sheffield United
2018-10-23,19:45,Championship,Matchweek 14,Tue,Home,D,1,1,Stoke City,2.9,0.5,56.0,24463.0,Leon Clarke,3-4-1-2,Gavin Ward,Match Report,,21.0,5.0,14.5,1.0,0.0,0.0,2018,Sheffield United
2018-10-27,15:00,Championship,Matchweek 15,Sat,Home,W,4,2,Wigan Athletic,2.9,1.5,52.0,24429.0,Billy Sharp,3-4-3,Tony Harrington,Match Report,,12.0,4.0,14.4,1.0,0.0,0.0,2018,Sheffield United
2018-11-03,15:00,Championship,Matchweek 16,Sat,Away,L,0,1,Nott'ham Forest,0.6,0.9,54.0,28757.0,Billy Sharp,3-5-2,Scott Duncan,Match Report,,11.0,1.0,16.2,0.0,0.0,0.0,2018,Sheffield United
2018-11-09,19:45,Championship,Matchweek 17,Fri,Home,D,0,0,Sheffield Weds,1.6,0.8,74.0,30261.0,Billy Sharp,3-4-1-2,Andy Madley,Match Report,,18.0,4.0,20.3,1.0,0.0,1.0,2018,Sheffield United
2018-11-24,12:30,Championship,Matchweek 18,Sat,Away,D,2,2,Rotherham Utd,2.2,1.3,56.0,11607.0,Billy Sharp,3-5-2,Peter Bankes,Match Report,,6.0,3.0,11.3,0.0,0.0,0.0,2018,Sheffield United
2018-11-27,19:45,Championship,Matchweek 19,Tue,Away,W,3,2,Brentford,1.8,0.7,35.0,8903.0,Oliver Norwood,3-5-2,Steve Martin,Match Report,,18.0,5.0,16.1,1.0,0.0,0.0,2018,Sheffield United
2018-12-01,12:30,Championship,Matchweek 20,Sat,Home,L,0,1,Leeds United,1.3,1.0,56.0,25794.0,Billy Sharp,3-4-1-2,Oliver Langford,Match Report,,12.0,2.0,20.3,0.0,0.0,0.0,2018,Sheffield United
2018-12-08,17:30,Championship,Matchweek 21,Sat,Away,W,2,0,Reading,1.8,0.2,48.0,12066.0,Oliver Norwood,3-5-2,James Linington,Match Report,,13.0,4.0,15.2,1.0,0.0,0.0,2018,Sheffield United
2018-12-14,19:45,Championship,Matchweek 22,Fri,Home,L,1,2,West Brom,1.0,1.6,48.0,23400.0,Billy Sharp,3-4-1-2,Jeremy Simpson,Match Report,,10.0,3.0,15.6,0.0,0.0,0.0,2018,Sheffield United
2018-12-22,15:00,Championship,Matchweek 23,Sat,Away,D,1,1,Ipswich Town,1.6,0.4,61.0,17942.0,Billy Sharp,3-4-1-2,Andy Woolmer,Match Report,,16.0,3.0,14.9,0.0,0.0,0.0,2018,Sheffield United
2018-12-26,15:00,Championship,Matchweek 24,Wed,Home,W,3,1,Derby County,1.9,0.5,50.0,28974.0,Billy Sharp,3-5-2,Geoff Eltringham,Match Report,,16.0,6.0,15.7,0.0,0.0,0.0,2018,Sheffield United
2018-12-29,15:00,Championship,Matchweek 25,Sat,Home,W,3,0,Blackburn,2.2,0.8,45.0,27384.0,Billy Sharp,3-4-1-2,Anthony Taylor,Match Report,,14.0,5.0,15.2,0.0,0.0,0.0,2018,Sheffield United
2019-01-01,15:00,Championship,Matchweek 26,Tue,Away,W,3,0,Wigan Athletic,1.8,0.9,41.0,13054.0,Billy Sharp,3-4-1-2,Andy Madley,Match Report,,13.0,4.0,13.0,0.0,0.0,0.0,2018,Sheffield United
2019-01-12,15:00,Championship,Matchweek 27,Sat,Home,W,1,0,QPR,0.5,0.2,56.0,25501.0,Billy Sharp,3-4-1-2,Andy Woolmer,Match Report,,10.0,2.0,18.3,0.0,0.0,0.0,2018,Sheffield United
2019-01-19,17:30,Championship,Matchweek 28,Sat,Away,L,0,1,Swansea City,1.5,1.3,49.0,18673.0,Billy Sharp,3-4-1-2,John Brooks,Match Report,,12.0,4.0,15.3,1.0,0.0,0.0,2018,Sheffield United
2019-01-26,15:00,Championship,Matchweek 29,Sat,Away,D,2,2,Norwich City,2.7,1.0,48.0,26844.0,Billy Sharp,3-4-1-2,James Linington,Match Report,,16.0,2.0,15.9,0.0,1.0,1.0,2018,Sheffield United
2019-02-02,15:00,Championship,Matchweek 30,Sat,Home,W,2,0,Bolton,1.5,0.7,56.0,26131.0,Billy Sharp,3-4-1-2,Keith Stroud,Match Report,,12.0,2.0,15.3,0.0,0.0,0.0,2018,Sheffield United
2019-02-08,19:45,Championship,Matchweek 31,Fri,Away,D,3,3,Aston Villa,2.8,1.5,44.0,34892.0,Billy Sharp,3-4-1-2,Tony Harrington,Match Report,,11.0,7.0,18.4,0.0,0.0,0.0,2018,Sheffield United
2019-02-13,19:45,Championship,Matchweek 32,Wed,Home,W,1,0,Middlesbrough,1.9,0.4,56.0,24805.0,Billy Sharp,3-4-1-2,Andy Woolmer,Match Report,,15.0,5.0,17.3,2.0,0.0,0.0,2018,Sheffield United
2019-02-16,15:00,Championship,Matchweek 33,Sat,Home,W,4,0,Reading,2.6,0.4,41.0,26513.0,Oliver Norwood,3-4-1-2,Robert Jones,Match Report,,14.0,10.0,17.1,0.0,0.0,0.0,2018,Sheffield United
2019-02-23,17:30,Championship,Matchweek 34,Sat,Away,W,1,0,West Brom,0.5,1.0,44.0,24928.0,Billy Sharp,3-4-1-2,Oliver Langford,Match Report,,7.0,4.0,13.8,0.0,0.0,0.0,2018,Sheffield United
2019-03-04,19:45,Championship,Matchweek 35,Mon,Away,D,0,0,Sheffield Weds,0.8,0.6,58.0,31630.0,Billy Sharp,3-5-2,Peter Bankes,Match Report,,7.0,1.0,15.5,0.0,0.0,0.0,2018,Sheffield United
2019-03-09,12:15,Championship,Matchweek 36,Sat,Home,W,2,0,Rotherham Utd,1.8,0.1,71.0,27402.0,Oliver Norwood,3-4-1-2,Geoff Eltringham,Match Report,,19.0,11.0,18.6,0.0,0.0,0.0,2018,Sheffield United
2019-03-12,19:45,Championship,Matchweek 37,Tue,Home,W,2,0,Brentford,1.8,1.8,31.0,24463.0,Oliver Norwood,3-4-1-2,Tony Harrington,Match Report,,9.0,3.0,17.0,0.0,1.0,1.0,2018,Sheffield United
2019-03-16,12:30,Championship,Matchweek 38,Sat,Away,W,1,0,Leeds United,1.0,1.5,31.0,37004.0,Billy Sharp,3-5-2,David Coote,Match Report,,10.0,1.0,16.7,2.0,0.0,0.0,2018,Sheffield United
2019-03-30,15:00,Championship,Matchweek 39,Sat,Home,L,2,3,Bristol City,2.1,1.8,51.0,30030.0,Billy Sharp,3-5-2,James Linington,Match Report,,12.0,5.0,17.0,0.0,0.0,0.0,2018,Sheffield United
2019-04-06,15:00,Championship,Matchweek 40,Sat,Away,W,1,0,Preston,2.1,1.0,46.0,18339.0,Billy Sharp,3-4-1-2,Gavin Ward,Match Report,,15.0,5.0,17.1,0.0,0.0,0.0,2018,Sheffield United
2019-04-10,19:45,Championship,Matchweek 41,Wed,Away,D,1,1,Birmingham City,0.4,0.8,67.0,22351.0,Billy Sharp,3-4-1-2,Darren Bond,Match Report,,8.0,3.0,18.3,0.0,0.0,0.0,2018,Sheffield United
2019-04-13,15:00,Championship,Matchweek 42,Sat,Home,D,1,1,Millwall,1.3,2.0,66.0,26703.0,Billy Sharp,3-5-2,David Webb,Match Report,,14.0,2.0,16.6,0.0,0.0,0.0,2018,Sheffield United
2019-04-19,12:30,Championship,Matchweek 43,Fri,Home,W,2,0,Nott'ham Forest,1.5,0.4,63.0,28403.0,Oliver Norwood,3-4-1-2,Andy Madley,Match Report,,14.0,4.0,18.4,1.0,0.0,0.0,2018,Sheffield United
2019-04-22,15:00,Championship,Matchweek 44,Mon,Away,W,3,0,Hull City,1.4,0.6,40.0,14116.0,Oliver Norwood,3-4-1-2,Graham Scott,Match Report,,10.0,4.0,14.6,0.0,0.0,0.0,2018,Sheffield United
2019-04-27,17:15,Championship,Matchweek 45,Sat,Home,W,2,0,Ipswich Town,2.2,0.2,47.0,30140.0,Oliver Norwood,3-4-1-2,Tim Robinson,Match Report,,12.0,3.0,13.0,1.0,0.0,0.0,2018,Sheffield United
2019-05-05,12:30,Championship,Matchweek 46,Sun,Away,D,2,2,Stoke City,0.8,1.5,48.0,26665.0,Billy Sharp,3-4-1-2,Geoff Eltringham,Match Report,,10.0,5.0,20.1,0.0,0.0,0.0,2018,Sheffield United
2018-08-05,16:30,Championship,Matchweek 1,Sun,Home,W,3,1,Stoke City,1.6,1.9,50.0,34126.0,Liam Cooper,4-1-4-1,Scott Duncan,Match Report,,12.0,5.0,13.5,0.0,0.0,0.0,2018,Leeds United
2018-08-11,17:30,Championship,Matchweek 2,Sat,Away,W,4,1,Derby County,1.7,0.9,53.0,27311.0,Liam Cooper,4-1-4-1,Peter Bankes,Match Report,,17.0,7.0,19.4,0.0,0.0,0.0,2018,Leeds United
2018-08-18,15:00,Championship,Matchweek 3,Sat,Home,W,2,0,Rotherham Utd,1.5,0.8,73.0,33699.0,Liam Cooper,4-2-3-1,Robert Jones,Match Report,,17.0,7.0,20.8,0.0,0.0,0.0,2018,Leeds United
2018-08-21,19:45,Championship,Matchweek 4,Tue,Away,D,2,2,Swansea City,1.2,0.9,56.0,20860.0,Luke Ayling,4-1-4-1,Andrew Davies,Match Report,,8.0,3.0,18.2,1.0,0.0,0.0,2018,Leeds United
2018-08-25,15:00,Championship,Matchweek 5,Sat,Away,W,3,0,Norwich City,0.6,0.5,58.0,25944.0,Luke Ayling,4-1-4-1,Simon Hooper,Match Report,,12.0,5.0,16.9,0.0,0.0,0.0,2018,Leeds United
2018-08-31,19:45,Championship,Matchweek 6,Fri,Home,D,0,0,Middlesbrough,0.4,0.5,61.0,35417.0,Liam Cooper,4-1-4-1,Tim Robinson,Match Report,,11.0,3.0,24.7,1.0,0.0,0.0,2018,Leeds United
2018-09-15,15:00,Championship,Matchweek 7,Sat,Away,D,1,1,Millwall,1.4,1.6,61.0,17195.0,Liam Cooper,4-1-4-1,Chris Kavanagh,Match Report,,11.0,4.0,17.0,0.0,0.0,0.0,2018,Leeds United
2018-09-18,19:45,Championship,Matchweek 8,Tue,Home,W,3,0,Preston,2.3,0.2,61.0,27729.0,Liam Cooper,4-1-4-1,Geoff Eltringham,Match Report,,17.0,5.0,18.8,0.0,0.0,0.0,2018,Leeds United
2018-09-22,15:00,Championship,Matchweek 9,Sat,Home,L,1,2,Birmingham City,1.0,0.2,71.0,34800.0,Liam Cooper,4-1-4-1,Peter Bankes,Match Report,,17.0,5.0,18.0,0.0,0.0,0.0,2018,Leeds United
2018-09-28,19:45,Championship,Matchweek 10,Fri,Away,D,1,1,Sheffield Weds,1.6,0.4,63.0,26717.0,Liam Cooper,4-1-4-1,Robert Jones,Match Report,,25.0,7.0,17.3,0.0,0.0,0.0,2018,Leeds United
2018-10-02,19:45,Championship,Matchweek 11,Tue,Away,W,1,0,Hull City,1.7,0.7,65.0,13798.0,Liam Cooper,3-4-3,Darren Bond,Match Report,,11.0,1.0,17.0,0.0,0.0,0.0,2018,Leeds United
2018-10-06,12:30,Championship,Matchweek 12,Sat,Home,D,1,1,Brentford,1.2,1.6,53.0,31880.0,Liam Cooper,4-1-4-1,Jeremy Simpson,Match Report,,13.0,3.0,17.1,1.0,0.0,0.0,2018,Leeds United
2018-10-20,12:00,Championship,Matchweek 13,Sat,Away,L,1,2,Blackburn,1.6,1.0,67.0,20929.0,Liam Cooper,4-1-4-1,Darren England,Match Report,,20.0,6.0,18.9,1.0,0.0,0.0,2018,Leeds United
2018-10-24,19:45,Championship,Matchweek 14,Wed,Home,W,2,0,Ipswich Town,1.2,0.2,65.0,29082.0,Liam Cooper,3-4-3,Craig Pawson,Match Report,,18.0,5.0,15.5,0.0,0.0,0.0,2018,Leeds United
2018-10-27,17:30,Championship,Matchweek 15,Sat,Home,D,1,1,Nott'ham Forest,1.7,0.2,70.0,34308.0,Liam Cooper,4-1-4-1,Geoff Eltringham,Match Report,,18.0,3.0,18.2,1.0,0.0,0.0,2018,Leeds United
2018-11-04,13:30,Championship,Matchweek 16,Sun,Away,W,2,1,Wigan Athletic,2.4,0.2,65.0,14799.0,Liam Cooper,3-4-3,Andrew Davies,Match Report,,12.0,4.0,14.5,0.0,0.0,0.0,2018,Leeds United
2018-11-10,17:30,Championship,Matchweek 17,Sat,Away,L,1,4,West Brom,0.8,1.4,71.0,25661.0,Liam Cooper,4-1-4-1,Lee Mason,Match Report,,15.0,3.0,18.0,0.0,0.0,0.0,2018,Leeds United
2018-11-24,15:00,Championship,Matchweek 18,Sat,Home,W,2,0,Bristol City,1.6,0.3,62.0,34333.0,Liam Cooper,4-1-4-1,Scott Duncan,Match Report,,20.0,6.0,19.3,0.0,0.0,0.0,2018,Leeds United
2018-11-27,19:45,Championship,Matchweek 19,Tue,Home,W,1,0,Reading,2.9,1.2,64.0,27806.0,Liam Cooper,4-1-4-1,Mike Dean,Match Report,,18.0,5.0,12.9,0.0,0.0,0.0,2018,Leeds United
2018-12-01,12:30,Championship,Matchweek 20,Sat,Away,W,1,0,Sheffield Utd,1.0,1.3,44.0,25794.0,Liam Cooper,3-4-3◆,Oliver Langford,Match Report,,11.0,6.0,20.6,1.0,0.0,0.0,2018,Leeds United
2018-12-08,15:00,Championship,Matchweek 21,Sat,Home,W,2,1,QPR,3.2,0.5,68.0,33781.0,Pablo Hernández,4-1-4-1,Peter Bankes,Match Report,,19.0,6.0,19.7,1.0,1.0,1.0,2018,Leeds United
