team,season,comp,rank
Liverpool,2018,Premier-League-Stats,2
Chelsea,2018,Premier-League-Stats,3
Tottenham Hotspur,2018,Premier-League-Stats,4
Arsenal,2018,Premier-League-Stats,5
Manchester United,2018,Premier-League-Stats,6
Wolverhampton Wanderers,2018,Premier-League-Stats,7
Everton,2018,Premier-League-Stats,8
Leicester City,2018,Premier-League-Stats,9
West Ham United,2018,Premier-League-Stats,10
Watford,2018,Premier-League-Stats,11
Crystal Palace,2018,Premier-League-Stats,12
Newcastle United,2018,Premier-League-Stats,13
Bournemouth,2018,Premier-League-Stats,14
Burnley,2018,Premier-League-Stats,15
Southampton,2018,Premier-League-Stats,16
Brighton and Hove Albion,2018,Premier-League-Stats,17
Cardiff City,2018,Premier-League-Stats,18
Fulham,2018,Premier-League-Stats,19
Huddersfield Town,2018,Premier-League-Stats,20
Norwich City,2018,Championship-Stats,1
Sheffield United,2018,Championship-Stats,2
Leeds United,2018,Championship-Stats,3
West Bromwich Albion,2018,Championship-Stats,4
Aston Villa,2018,Championship-Stats,5
Derby County,2018,Championship-Stats,6
Middlesbrough,2018,Championship-Stats,7
Bristol City,2018,Championship-Stats,8
Nottingham Forest,2018,Championship-Stats,9
Swansea City,2018,Championship-Stats,10
Brentford,2018,Championship-Stats,11
Sheffield Wednesday,2018,Championship-Stats,12
Hull City,2018,Championship-Stats,13
Preston North End,2018,Championship-Stats,14
Blackburn Rovers,2018,Championship-Stats,15
Stoke City,2018,Championship-Stats,16
Birmingham City,2018,Championship-Stats,17
Wigan Athletic,2018,Championship-Stats,18
Queens Park Rangers,2018,Championship-Stats,19
Reading,2018,Championship-Stats,20
Millwall,2018,Championship-Stats,21
Rotherham United,2018,Championship-Stats,22
Bolton Wanderers,2018,Championship-Stats,23
Ipswich Town,2018,Championship-Stats,24
Manchester City,2017,Premier-League-Stats,1
Manchester United,2017,Premier-League-Stats,2
Tottenham Hotspur,2017,Premier-League-Stats,3
Liverpool,2017,Premier-League-Stats,4
Chelsea,2017,Premier-League-Stats,5
Arsenal,2017,Premier-League-Stats,6
Burnley,2017,Premier-League-Stats,7
Everton,2017,Premier-League-Stats,8
Leicester City,2017,Premier-League-Stats,9
Newcastle United,2017,Premier-League-Stats,10
Crystal Palace,2017,Premier-League-Stats,11
Bournemouth,2017,Premier-League-Stats,12
West Ham United,2017,Premier-League-Stats,13
Watford,2017,Premier-League-Stats,14
Brighton and Hove Albion,2017,Premier-League-Stats,15
